Time,DWATT,CSGV,CTIM,TTXD1_1,TTXD1_2,TTXD1_3,TTXD1_4,TTXD1_5,TTXD1_6,TTXD1_7,TTXD1_8,TTXD1_9,TTXD1_10,TTXD1_11,TTXD1_12,TTXD1_13,TTXD1_14,TTXD1_15,TTXD1_16,TTXD1_17,TTXD1_18,TTXD1_19,TTXD1_20,TTXD1_21,TTXD1_22,TTXD1_23,TTXD1_24,TTXM,TTXSP1,TTXSP3,TTXSP2
#!Units,MW,na,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,naF,naF,naF,deg F,deg F,deg F,deg F
#!Description,Generator Watts Max Selected,IGV angle in deg,Compressor Inlet Temperature,Exhaust Thermocouple 1- Compensated,Exhaust Thermocouple 2- Compensated,Exhaust Thermocouple 3- Compensated,Exhaust Thermocouple 4- Compensated,Exhaust Thermocouple 5- Compensated,Exhaust Thermocouple 6 - Compensated,Exhaust Thermocouple 7 - Compensated,Exhaust Thermocouple 9 - Compensated,Exhaust Thermocouple 9 - Compensated,Exhaust Thermocouple 10  - Compensated,Exhaust Thermocouple 11 - Compensated,Exhaust Thermocouple 12 - Compensated,Exhaust Thermocouple 13 - Compensated,Exhaust Thermocouple 14 - Compensated,Exhaust Thermocouple 15 - Compensated,Exhaust Thermocouple 16 - Compensated,Exhaust Thermocouple 17 - Compensated,Exhaust Thermocouple 18 - Compensated,Exhaust Thermocouple 19 - Compensated,Exhaust Thermocouple 20 - Compensated,Exhaust Thermocouple 21 - Compensated,Exhaust Thermocouple 22 - Compensated,Exhaust Thermocouple 23 - Compensated,Exhaust Thermocouple 24 - Compensated,Exhaust Temp Median Corrected By Average,Combustion Monitor Actual Spread 1,Combustion Monitor Actual Spread 3,Combustion Monitor Actual Spread 2
2015/8/8 16:00,103.7570801,81.34230042,85.49578857,1055.10022,1055.95874,1055.316406,1036.587158,1048.803345,1072.202515,1054.046997,1056.315186,1064.728638,1063.640625,1051.278931,1050.744385,1047.174438,1041.753052,1063.021484,1062.173706,1058.825195,1044.016846,1040.609253,1043.496338,1061.407837,1049.905884,1055.704468,1061.295898,1053.598633,27.16072845,23.20941925,25.80349922
2015/8/8 17:00,102.3421326,79.92608643,88.24200439,1058.291748,1060.225952,1060.72876,1041.973877,1052.555542,1072.183594,1057.259399,1061.863281,1070.753906,1067.63147,1055.689453,1056.793213,1052.602661,1046.981689,1064.331543,1065.624878,1061.163818,1048.61145,1041.591309,1049.411987,1064.736694,1056.00769,1059.65686,1065.899048,1058.743164,30.24401855,23.78029823,27.7565937
2015/8/8 18:00,102.3014526,77.41403198,85.47138214,1057.143677,1060.028931,1059.574829,1041.439941,1054.159058,1071.920044,1054.676147,1061.805176,1070.585938,1067.417236,1055.057007,1056.648804,1052.558228,1046.485352,1063.187378,1068.730469,1062.31311,1046.9552,1040.018066,1050.320923,1069.467163,1058.477417,1059.960327,1067.241577,1058.550781,30.88032532,23.60642815,27.91436768
2015/8/8 19:00,102.4041901,76.21901703,83.58166504,1056.489136,1059.589966,1059.418457,1042.368164,1054.961182,1070.502563,1054.670532,1063.478638,1070.98645,1066.945923,1054.717896,1057.21582,1052.429321,1047.098511,1064.846313,1069.427368,1060.63855,1046.856445,1040.067871,1047.643188,1070.808228,1058.194824,1059.048584,1065.613281,1058.433716,31.2990303,23.4384079,29.23706627
2015/8/8 20:00,101.7153931,75.4647522,83.74885559,1058.224609,1063.511353,1062.210571,1043.580322,1057.047852,1071.449707,1056.956909,1065.226685,1072.587036,1069.200684,1056.324707,1059.071045,1053.373291,1047.008301,1065.584961,1071.04126,1062.539551,1050.83374,1039.61731,1050.598755,1073.075928,1058.800171,1061.725342,1069.305542,1059.78772,31.14690781,23.61481285,27.66462135
2015/8/8 21:00,102.3126831,77.6639328,84.77516937,1058.764404,1062.014038,1060.136719,1040.143066,1053.074951,1071.148071,1054.585327,1062.030396,1070.359985,1067.736206,1054.317139,1055.700195,1051.331543,1047.205444,1063.091431,1067.553101,1060.880249,1049.248291,1039.619873,1049.238892,1069.207397,1056.414429,1060.335205,1066.013672,1058.737427,30.53275681,24.80643654,28.65058136
2015/8/8 22:00,101.6423187,77.85756683,86.56958008,1057.781738,1060.786865,1060.426025,1041.253784,1054.235718,1071.379517,1057.656738,1062.908691,1072.303589,1068.028809,1055.160645,1056.571289,1051.9375,1046.77417,1063.361572,1069.899414,1061.263062,1048.258911,1041.205444,1049.615356,1068.320679,1056.714722,1059.722168,1066.47876,1057.935669,31.01704597,25.04807281,29.48068237
2015/8/8 23:00,102.1531372,77.74066925,86.41010284,1058.648926,1062.552368,1062.317505,1041.401001,1056.481812,1073.113159,1057.691528,1064.1875,1072.762695,1068.27356,1056.671265,1057.79895,1053.67041,1047.282349,1065.014526,1070.52478,1063.701294,1048.655518,1042.294189,1050.142334,1071.256348,1057.433838,1059.920654,1068.352539,1059.858765,29.95654297,24.69459915,27.95616722
2015/8/9 0:00,104.4979553,84.07857513,86.18753052,1056.057861,1051.008545,1054.279053,1037.177124,1047.804565,1068.436768,1052.944214,1054.616211,1062.055054,1061.68103,1049.104736,1049.556519,1046.79895,1040.622559,1062.220947,1058.562256,1057.538086,1040.819336,1040.904663,1039.451172,1058.164551,1049.610229,1054.311157,1057.062012,1052.069092,26.75363159,22.03775597,23.6049099
2015/8/9 1:00,104.6897888,84.07131195,86.34608459,1054.907837,1054.142578,1054.170166,1036.20874,1047.828369,1069.999878,1051.836426,1053.535522,1062.126465,1061.180176,1049.083496,1049.021484,1046.231567,1040.523926,1061.415649,1059.21521,1058.352051,1041.037842,1040.991699,1042.385498,1060.542603,1050.33252,1052.508301,1059.96167,1051.784302,25.87368393,22.71326637,22.1390152
2015/8/9 2:00,104.6977005,84.06942749,86.02215576,1054.640259,1052.247559,1054.863403,1036.77356,1047.372192,1068.606079,1052.531006,1054.915283,1061.232422,1061.792236,1047.532715,1048.638062,1045.920898,1039.593872,1059.836914,1056.942505,1058.529419,1042.029663,1040.136841,1041.770508,1059.298096,1050.457886,1051.393555,1056.454468,1050.893921,26.13159561,21.82920837,21.9936142
2015/8/9 3:00,106.1387939,84.07151031,86.09877777,1055.381714,1053.120728,1053.680664,1036.067383,1047.501221,1069.930664,1051.307129,1054.813477,1061.757202,1061.882935,1047.123047,1049.983765,1045.963623,1039.773438,1061.125977,1057.564575,1056.331055,1042.248535,1040.662476,1039.948242,1058.83606,1049.673828,1052.509277,1058.802856,1052.203125,24.95444298,21.74105453,23.52217484
2015/8/9 4:00,104.6636353,84.06813812,85.94029999,1054.746704,1052.783569,1055.849487,1035.441406,1048.299072,1067.620605,1051.406006,1054.285522,1061.824219,1061.300415,1048.000977,1049.140503,1045.130371,1040.261719,1061.307495,1056.916992,1056.267822,1040.491089,1039.691528,1040.410278,1060.741089,1048.832153,1053.044556,1057.348145,1052.056396,24.17011261,21.65291977,21.9045105
2015/8/9 5:00,104.8216553,84.06476593,86.25193024,1054.180664,1052.200928,1054.713623,1035.611694,1048.593262,1070.278198,1051.054077,1053.027466,1061.891113,1060.526001,1048.878906,1048.297241,1045.350464,1040.75,1060.700928,1056.559082,1058.79895,1041.405396,1040.863281,1041.281494,1059.815918,1049.118042,1053.768677,1057.498901,1051.909546,25.72597313,21.564785,20.86603165
2015/8/9 6:00,104.6725388,84.07146454,86.24532318,1055.558228,1053.636719,1054.861206,1035.572876,1046.959717,1067.685181,1054.102417,1054.447754,1061.464844,1062.687622,1048.206055,1048.193726,1045.654907,1041.223877,1060.828613,1059.101685,1057.523315,1040.714355,1040.296143,1040.155029,1058.637329,1047.772583,1053.635864,1058.586792,1053.307983,26.55530357,23.21065521,21.56927109
2015/8/9 7:00,104.8805389,84.07410431,86.30167389,1054.841431,1052.865967,1056.302734,1036.311646,1047.077148,1069.44397,1052.154541,1053.51416,1061.867065,1061.248901,1048.412354,1048.667847,1045.356201,1039.607422,1061.059082,1057.885742,1055.522705,1040.80957,1041.33728,1040.759521,1059.285645,1048.645752,1052.844727,1057.266968,1052.048218,24.32336807,21.79100037,22.80506706
2015/8/9 8:00,79.05706787,61.65867233,93.82528687,1098.751587,1091.839966,1089.898926,1094.179199,1087.562866,1095.699707,1087.846558,1106.400269,1101.441528,1099.094971,1101.471558,1093.153687,1089.545166,1091.235718,1082.838135,1094.560547,1096.116211,1092.362793,1091.487305,1093.092041,1095.184204,1079.81958,1101.685547,1098.448486,1093.572266,23.17745399,16.57551384,21.4473362
2015/8/9 9:00,103.8638611,84.05059052,87.34477234,1054.594727,1054.862793,1055.148193,1036.816772,1048.589233,1069.20105,1052.865601,1053.327026,1061.837036,1061.45874,1048.340454,1049.425293,1046.92395,1040.204346,1061.788696,1059.576904,1061.094238,1039.570313,1041.180054,1039.619019,1058.260986,1048.572266,1053.13501,1058.982544,1052.006348,26.54557419,23.13948631,23.40991974
2015/8/9 10:00,104.3621674,84.0705719,87.420578,1055.308716,1054.441162,1055.297607,1036.225098,1050.312744,1071.033691,1052.641724,1052.950195,1062.330688,1062.733032,1050.616455,1051.61377,1048.768921,1041.993164,1063.344604,1059.64917,1063.281494,1038.918335,1041.563477,1041.199707,1059.647095,1049.483643,1055.251587,1057.488159,1054.453979,26.87120247,22.74008369,21.31788445
2015/8/9 11:00,104.1832581,83.17101288,87.85267639,1056.759399,1053.220581,1055.322266,1037.259521,1047.566772,1070.798096,1051.296631,1055.906738,1062.234619,1060.581177,1049.435547,1049.676025,1045.810303,1041.433716,1061.941772,1059.433838,1061.777222,1039.834351,1042.467407,1041.506104,1059.554443,1048.68811,1052.526367,1058.974243,1053.962646,25.90545654,21.28982925,23.71908569
2015/8/9 12:00,103.9244919,84.039711,88.29433441,1055.96814,1053.413208,1055.361328,1036.955444,1048.213623,1070.593018,1051.350952,1054.960205,1062.347534,1061.407471,1049.913818,1050.544556,1046.47168,1044.203857,1062.944458,1059.756958,1061.657104,1040.335083,1040.468384,1042.651245,1061.266479,1050.497925,1056.501587,1058.089966,1052.823242,27.23840523,25.67098045,22.48843956
2015/8/9 13:00,103.7483215,84.07122803,88.26808929,1055.407959,1056.571533,1057.545898,1038.373047,1048.536255,1069.222656,1054.891357,1055.135986,1062.664795,1061.935425,1048.99231,1049.363647,1047.175781,1040.532349,1061.800537,1059.722778,1062.397095,1038.910522,1043.455566,1040.709351,1061.940063,1050.811401,1054.255981,1059.146362,1052.720459,24.58421898,21.42072296,22.96774101
2015/8/9 14:00,104.3916855,84.07611084,87.13504791,1054.656006,1053.047485,1056.480713,1036.811401,1047.818848,1069.484741,1052.211792,1053.718872,1061.980957,1061.801147,1049.004883,1048.768433,1046.76709,1041.026611,1060.801392,1058.905273,1061.548706,1039.645264,1041.563477,1042.47229,1059.884155,1050.571167,1054.596924,1059.026611,1052.163696,26.55359268,21.00687599,22.8416748
2015/8/9 15:00,103.8013077,84.0677948,87.41914368,1056.200928,1053.480835,1057.112915,1037.286865,1050.766357,1070.942871,1052.902222,1055.307007,1063.912476,1062.403076,1049.350098,1049.442261,1047.558105,1041.070801,1062.153442,1059.114014,1062.572876,1039.69165,1041.241699,1042.606323,1060.390991,1049.845947,1052.233398,1056.819702,1052.989014,27.27579498,23.91512871,23.83994675
2015/8/9 16:00,104.2458725,84.07607269,86.97327423,1056.973267,1052.559692,1056.456299,1036.711792,1047.233276,1069.398315,1053.276245,1054.176147,1064.161865,1061.126343,1049.244019,1049.343262,1048.225708,1040.194336,1064.117432,1058.980713,1058.887817,1041.383057,1040.579346,1043.153687,1060.161865,1051.081665,1053.417969,1056.50061,1052.18396,28.23640442,23.19111443,23.57704544
2015/8/9 17:00,104.2494049,84.07035065,87.00228882,1054.987793,1053.596802,1057.234253,1035.605835,1048.596558,1069.382202,1052.258667,1053.972168,1061.008911,1061.262695,1048.06604,1049.938477,1045.938599,1039.601685,1061.397339,1057.971558,1056.988525,1040.423096,1039.169067,1041.313232,1059.69397,1050.314209,1053.539429,1057.547485,1051.509277,25.64166451,22.6121788,21.90306473
2015/8/9 18:00,104.2231445,84.05376434,86.04840851,1054.942261,1051.78894,1058.189697,1036.892944,1047.369995,1069.348511,1052.513062,1053.660034,1061.667603,1061.638672,1048.329834,1048.885132,1046.749512,1039.658813,1061.51123,1057.790039,1058.356567,1039.852295,1039.427979,1041.391113,1059.791138,1050.682373,1053.639038,1055.331665,1051.629639,24.19474983,21.29988861,21.6476841
2015/8/9 19:00,104.4824829,84.07080841,86.5136795,1051.632935,1050.774658,1056.933594,1035.359985,1044.199463,1066.572388,1050.456421,1051.404419,1060.933594,1059.12146,1046.652344,1048.074341,1044.659912,1038.467041,1059.022095,1057.340088,1054.560547,1038.267456,1037.853394,1037.825439,1057.608154,1049.071899,1052.694702,1055.675659,1050.404419,26.91798592,23.70776367,23.71728516
2015/8/9 20:00,103.8627319,81.01451111,85.53677368,1056.696533,1057.80896,1058.735474,1038.309082,1050.701904,1073.313599,1054.433594,1056.242188,1065.458984,1064.442139,1050.640381,1051.259521,1047.373901,1043.001099,1061.3396,1062.662476,1058.810547,1044.05957,1040.78064,1044.212646,1061.96106,1050.848633,1056.619995,1062.209229,1054.378418,27.37361717,22.85090446,24.71798134
2015/8/9 21:00,104.1609268,81.19498444,85.37205505,1054.979248,1054.747314,1057.991211,1035.503296,1047.880981,1070.127319,1052.702637,1055.411011,1061.564941,1061.370605,1048.501221,1050.372559,1047.959961,1041.022095,1060.994873,1059.44043,1059.47998,1040.914551,1040.224854,1041.082031,1061.111694,1050.158447,1054.627319,1057.936646,1053.025391,26.48203659,21.85998154,22.9699192
2015/8/9 22:00,105.0246429,84.05182648,84.63683319,1053.577026,1051.733032,1056.050781,1035.922485,1047.158203,1069.820923,1051.098145,1053.280396,1061.00354,1059.734497,1046.218384,1049.24231,1046.022339,1040.942505,1061.299072,1056.768433,1057.343506,1041.718872,1038.888184,1040.303101,1059.486694,1048.360229,1053.26001,1056.292236,1051.747437,24.22829628,21.6085701,23.09739685
2015/8/9 23:00,104.9420471,84.06169891,85.32611847,1054.078125,1050.110718,1054.373901,1036.838135,1046.982056,1069.078125,1051.771484,1053.249878,1061.579102,1061.15564,1047.510132,1048.783936,1046.697388,1040.051025,1062.06958,1058.176392,1056.123901,1039.536255,1040.12915,1039.688721,1059.134399,1049.65332,1051.172607,1056.518311,1051.736206,25.01973152,22.30285072,22.24860001
2015/8/10 0:00,104.9299622,84.07030487,85.20573425,1054.366699,1051.07373,1055.188232,1036.105347,1045.993164,1069.870728,1051.923828,1052.808472,1060.834106,1060.039185,1046.272949,1047.23645,1045.830322,1039.355957,1061.657715,1058.667969,1057.647461,1041.218994,1039.397339,1038.906128,1057.725342,1049.181152,1051.366943,1055.289429,1051.749146,25.52249718,20.86936569,21.97682953
